id,country,region,city,state,latitude,longitude,population,population_source,population_date,gdp,gdp_source,gdp_date,age,capture_date,notes,map_url
1,us,Northern America,Boston,MA,42.3592969,-71.0864768,1114624,http://worldpopulationreview.com/us-cities/boston-ma-population,2018,87458.97216,http://worldpopulationreview.com/us-cities/boston-ma-population,2017,1630,2019-09-11,"includes Boston, Cambridge, Somerville, Medford, Malden, Everett, Revere","https://www.google.com/maps/@42.3592969,-71.0864768,20000m/data=!3m1!1e3"
2,us,Northern America,Bridgeport,CT,41.16704,-73.20483,144900,http://worldpopulationreview.com/us-cities/bridgeport-ct-population,2018,8946.8505,http://worldpopulationreview.com/us-cities/bridgeport-ct-population,2017,1800,2019-09-11,,"https://www.google.com/maps/@41.16704,-73.20483,20000m/data=!3m1!1e3"
3,us,Northern America,Portland,ME,43.66147,-70.25533,66417,http://worldpopulationreview.com/us-cities/portland-me-population,2018,4584.699093,http://worldpopulationreview.com/us-cities/portland-me-population,2017,1786,2019-09-11,"includes Portland and South Portland. GDP from gross number from st louis fed, divided by population of portland MSA, times population","https://www.google.com/maps/@43.66147,-70.25533,20000m/data=!3m1!1e3"
4,us,Northern America,Lewiston,ME,44.10035,-70.21478,59140,http://worldpopulationreview.com/us-cities/lewiston-me-population,2018,3354.98798,http://worldpopulationreview.com/us-cities/lewiston-me-population,,,2019-09-11,includes Auburn ME,"https://www.google.com/maps/@44.10035,-70.21478,20000m/data=!3m1!1e3"
5,us,Northern America,Bangor,ME,44.80118,-68.77781,31997,http://worldpopulationreview.com/us-cities/bangor-me-population,2018,1890.862715,http://worldpopulationreview.com/us-cities/bangor-me-population,,,2019-09-11,,"https://www.google.com/maps/@44.80118,-68.77781,20000m/data=!3m1!1e3"
7,us,Northern America,Biddeford,ME,43.49258,-70.45338,21514,http://worldpopulationreview.com/us-cities/biddeford-me-population,2018,1402.841884,http://worldpopulationreview.com/us-cities/biddeford-me-population,,,2019-09-11,,"https://www.google.com/maps/@43.49258,-70.45338,20000m/data=!3m1!1e3"
8,us,Northern America,Sanford,ME,43.43925,-70.77422,21183,http://worldpopulationreview.com/us-cities/sanford-me-population,2018,1254.541992,http://worldpopulationreview.com/us-cities/sanford-me-population,,,2019-09-11,,"https://www.google.com/maps/@43.43925,-70.77422,20000m/data=!3m1!1e3"
9,us,Northern America,Burlington,VT,44.47588,-73.21207,42899,http://worldpopulationreview.com/us-cities/burlington-vt-population,2018,4137.061275,http://worldpopulationreview.com/us-cities/burlington-vt-population,,,2019-09-11,includes Burlington and South Burlington,"https://www.google.com/maps/@44.47588,-73.21207,20000m/data=!3m1!1e3"
10,us,Northern America,Rutland,VT,43.61062,-72.97261,15325,http://worldpopulationreview.com/us-cities/rutland-vt-population,2018,894.321025,http://worldpopulationreview.com/us-cities/rutland-vt-population,,,2019-09-11,,"https://www.google.com/maps/@43.61062,-72.97261,20000m/data=!3m1!1e3"
11,us,Northern America,Manchester,NH,42.99564,-71.45479,112525,http://worldpopulationreview.com/us-cities/manchester-nh-population,2018,7885.414425,http://worldpopulationreview.com/us-cities/manchester-nh-population,,,2019-09-11,,"https://www.google.com/maps/@42.99564,-71.45479,20000m/data=!3m1!1e3"
